termo,definicion
actínidos,"Elementos químicos da serie de transición interna caracterizada por que o último electrón ocupa un dos orbitais 5f. Son catorce elementos, con números atómicos comprendidos entre o 90, do torio, e o 103, do laurencio, con propiedades químicas moi semellantes ás do actinio. Todos os isótopos destes elementos son inestables e moitos atópanse nas series radioactivas naturais. V. táboa periódica."
actinio,"Sb. Ac. Elemento químico de número atómico 89 descuberto no 1899, por A. Debierne. De aspecto metálico prateado, preséntase na natureza como dous isótopos radioactivos: o Ac-227, cunha vida media de 21,7 días, atópase acompañando ao uranio; o outro isótopo natural é o Ac-228, e hai 29 isótopos artificiais máis. A principal aplicación deste elemento é o seu emprego como fonte de partículas alfa. MA. 227,03 u; Pf. 1230 ºC; Peb. 2400 ºC;  10060 kgm-3."
actinón,V. radon.
actividade óptica,"Propiedade que posúen algunhas substancias de desviar o plano de polarización da luz cara á dereita (dextróxiras) ou cara á esquerda (levóxiras). A actividade óptica dun composto pode resultar de interese para a súa identificación e adquiere especial importancia en bioquímica, farmacoloxía, e outras ciencias da vida, dado o sensible que resultan os seres vivos a diferentes isómeros ópticos. En xeral os aminoácidos que forman parte das proteínas dos seres vivos son levóxiros e moitos monosacáridos dextróxiros."
actividade radioactiva,"Sb. A. Medida da velocidade de desaparición de núcleos radioactivos dun material que, ao ser un proceso aleatorio, resulta proporcional ao número de núcleos presentes inicialmente na mostra, N:sendo  a chamada constante de desintegración, característica de cada isótopo radioactivo. A unidade de actividade radioactiva no SI é o becquerel, Bq, pero tamén é moi empregado o curie, Ci."
actividade,"Sb. a. En química, función termodinámica introducida por G.N. Lewis (1875-1946) que expresa a concentración dunha disolución non ideal. Relaciónase coa concentración da mesma disolución de comportamento ideal, x, do seguinte xeito a=x; onde  é o coeficiente de actividade, un parámetro de valor sempre inferior á unidade. En disolucións de non-electrolitos determínase a partir do potencial químico do compoñente i na disolución nas condicións experimentais, i, e o mesmo pero nun estado de referencia normal, i0, a través da expresión"
actividade solar,V. ciclo de actividade solar.
acumulador,"Dispositivo constituído por unha pila galvánica que pode funcionar de forma reversible. No proceso de descarga transfórmase enerxía química en eléctrica. Cando no proceso inverso se fai pasar unha corrente a través do acumulador cárgase, transformando enerxía eléctrica en enerxía química. Coñecese normalmente como batería."
acústica,"Parte da física que trata da formación e propagación dos sons. Existen diferentes ramas da acústica, como a acústica-física, acústica arquitectónica, electroacústica, acústica fisiolóxica, ou a acústica musical.V. ondas."
achatamento,"Sb. f.  Parámetro empregado en xeodesia para definir o elipsoide de referencia. Defínese en función do radio ecuatorial, Re, e o radio polar, Rp, do devandito elipsoide, como."
adaptador de vídeo,Circuíto electrónico que produce a imaxe que aparece no monitor dun ordenador.ADC Convertedor analóxico dixital.
adiabática,"Curva que representa as variacións que experimentan as distintas variables de estado dun sistema termodinámico durante un proceso adiabático. Soe expresarse como unha función da presión e do volume deste tipo , coñecida como ecuación de Laplace. Onde  é un coeficiente chamado razón de capacidade calorífica gamma."
adsorción,"Retención de moléculas dun fluído, ou dunha substancia disolta, por unha superficie sólida, ou arredor das partículas dun coloide en suspensión. A adsorción é un fenómeno superficial, a diferencia da absorción que afecta a todo o volume. Cando esa retención é debida á formación de enlaces químicos fálase de adsorción química ou quimisorción, mentres que nos demáis casos fálase de adsorción física ou fisisorción. Un bo adsorbente do vapor de auga é o xel de sílice; tamén o carbón activo se emprega como adsorbente para decolorar aceites, solucións de azúcar, etc, ou para eliminar gases tóxicos ou cheirentos do aire. V. tensión superficial."
aerodinámica,"Parte da mecánica que estudia o movemento dos gases e dos corpos dentro deles, particularmente no aire. Base da industria aeronáutica, esencialmente trata de determinar a resistencia que opón o aire a ser atravesado por sólidos de diferentes formas. A ecuación fundamental da aerodinámica é o resultado da experimentación en túneles de vento e establece que esa resistencia responde á ecuación.Onde Cd é o chamado coeficiente aerodinámico ou de arrastre, un factor que depende da forma do corpo e do número de Reynolds e que soe tomar valores entre 0,3 e 0,5. A representa a área da sección transversal que o corpo ofrece ao aire,  a densidade do aire e v dá conta da velocidade do corpo."
aerófono,V. tubos sonoros.
aerolito,"Fragmento de bólido que atravesa a atmosfera dende o espacio exterior, ou de xeo formado na estratosfera, e que cae na superficie terrestre."
aeromotor,V. enerxía eólica.
aeronáutica,"Parte da física aplicada aos sistemas da navegación aérea. Traballa no deseño e fabricación de distintos aparellos como avións, foguetes ou dirixibles baseándose nos principios básicos da aerodinámica e a aerostática."
aerosol,"Sistema coloidal que ten un gas como medio de dispersión. A fase dispersa pode ser un líquido, como por exemplo a néboa, ou un sólido, como o fume. Nos últimos anos os aerosois apuntáronse como unha das principais causa do deterioro da capa de ozono do planeta por conter dentro compostos cloroflúorcarbonados (CFCs)."
aerostática,"Parte da mecánica que estudia o equilibrio nos gases, particularmente no aire. Constitúe a base teórica na que se sustenta a navegación aérea por medio de aeróstatos."
aeroxerador,V. enerxía eólica.
afelio,Aphelio.
afinidade electrónica,Sb. A. Enerxía liberada (ou absorbida) cando un átomo ou molécula gana un electrón para formar un ión negativo. Mídese en electronvolt (eV).
afocal,Sistema óptico cos focos situados no infinito. V. lentes.
agulla magnética,compás magnético.
"Aharanov-Bohm, efecto de",Efecto polo que a fase da onda asociada a un electrón vese modificada ao pasar preto dun imán ou dunha carga eléctrica. V. dualidade onda-partícula.
aire,"Mestura gasosa que constitúe a atmosfera terrestre e fai posible a vida dos organismos aerobios. Está composto principalmente por nitróxeno (78%), osíxeno (21%) e argon (1%) aínda que contén tamén pequenas cantidades de dióxido de carbono, vapor de auga e outros gases nobres. A proporción entre os diferentes constituíntes cambia lixeiramente en función da altura sobre a superficie. En condicións normais a súa densidade é de 1,292 gL-1."
alabeo,Proceso mediante o cal se cambia suavemente a forma dunha superficie de tal xeito que os puntos que a forman deixan de estar nun mesmo plano.
albedo,"Fracción da enerxía luminosa incidente que difunde por reflexión unha superficie determinada. O albedo da superficie terrestre oscila entre o 0,05, típico dos bosques escuros, o 0,30 da area seca, e o 0,75 da neve limpa e parte superior das nubes. A desforestación masiva e o incremento de construccións incrementa o albedo do noso planeta, podendo provocar alteracións no ciclo enerxético na Terra."
alcance,V. movemento de proxectís.
aleteo,"Vibración aeroelástica dun corpo no seo dun fluído que ten por obxecto a sustentación no mesmo, fenómeno que depende das diversas forzas que actúen no sistema."
algoritmo,"Termo derivado do matemático Muhammad Ibn Musa, de alcume Al-Khwarizmi (780-850), e que se refire ao método de resolución de problemas consistente en descompoñelos nun conxunto de accións sinxelas. En informática emprégase para a elaboración de programas de ordenador."
almicantaradas,Círculos horizontais.
alotropía,"Propiedade que presentan certos elementos capaces de presentarse en formas distintas, chamadas alótropos ou formas alotrópicas, en función das unións entre os seus átomos. P.e. o grafito e o diamante son dúas formas alotrópicas do carbono e o O2 e o O3 (ozono) son dúas variedades alotrópicas do elemento osíxeno."
alótropo,V. alotropía.
alta resolución,"Utilizase en informática para denotar a alta calidade con que se reproduce unha imaxe, por exemplo na pantalla dun ordenador. Está relacionada co número de puntos (píxeles) que se utilizan para a súa representación."
altacimutal,Tipo de montura para telescopio que permite movelo vertical e horizontalmente (altura e azimut).
alternador,"Dispositivo para xerar corrente alterna baseado no fenómeno da inducción electromagnética. No caso máis sinxelo consiste nunha bobina que xira no interior dun campo magnético producido por un imán. Na práctica o campo magnético é producido por unha bobina, o inductor, alimentada cun xerador de corrente continua e disposta de xeito que xire no interior doutra bobina fixa, o inducido. A primeira bobina chámase rotor e a segunda estator. As bobinas dos rotores con frecuencia son multipolares: dispóñense de xeito que presenten varios pares de polos. No estator, hai tantas bobinas, conectadas en serie e uniformemente distribuídas, como polos teña o rotor e montadas de xeito que a corrente inducida nelas sexa concordante. Nesta situación, a corrente producida chámase monofásica, pero se no inducido existe un segundo xogo de bobinas independentes do primeiro e intercaladas con el, a corrente producida chámase bifásica e estará constituída por dúas correntes desfasadas 90º. Cando hai tres sistemas de bobinas  independentes, a corrente producida denomínase trifásica e está constituída por tres correntes desfasadas 120º. Aínda que son posibles correntes eléctricas polifásicas cun número maior de bobinas, na práctica, as correntes trifásicas son as máis utilizadas. Para o seu transporte, en lugar de empregar seis conductores, empréganse só tres, conectados en estrela ou en triangulo. V. conexión en estrela; conexión en triángulo."
alternador multipolar,V. alternador.
altímetro,"Dispositivo que mide a altura sobre o nivel do mar. Existen dous grandes tipos, os que fan uso da reflexión do son ou ultrasóns (sonda-eco) e os baseados na variación da presión atmosférica coa altura. Estes últimos son barómetros metálicos que levan unha escala na que se pode ler directamente en metros de altitude o valor de presión atmosférica convertido axeitadamente mediante unha relación exponencial como a seguinteque dá a altura h en metros en función das alturas barométricas de dous lugares, un máis baixo, H1, normalmente o nivel do mar, e outro máis alto , H2."
altura,Elevación ou distancia de calquera corpo sobre a superficie da Terra.
altura,Dimensión dun corpo perpendicular a súa base.
altura,V. altura dun astro.
altura,V. altura dun son.
altura,V. altura de presión.
altura,V. movemento de proxectís.
altura barométrica,Forma de expresar a presión atmosférica en función da altura (normalmente en centímetros ou milímetros) dunha columna de mercurio que exercería unha presión do mesmo valor sobre a súa base.
altura cinética,Altura dinámica.
altura de presión,Termo da ecuación de Bernouilli da dinámica de fluídos que representa a enerxía por unidade de peso correspondente a un elemento de volume de fluído polo feito de estar sometido a una determinada presión.
altura dinámica,"Medida da enerxía cinética por unidade de peso que leva nun determinado instante un elemento de volume dun fluído en movemento (V. Bernouilli, ecuación de). Toma o valor de v2/(2g) se se considera que a distribución de velocidades na conducción é uniforme. En caso contrario é preciso multiplicar a anterior expresión por un factor de corrección  que soe tomar un valor entre 1,02 e 1,15 para  fluxos turbulentos e 2 para fluxos laminares."
altura dun astro,"En astronomía, ángulo correspondente ao arco do círculo vertical que pasa polo astro, medido dende o horizonte do lugar ata ese astro. A altura cero corresponde á dun astro situado xusto no horizonte do lugar, mentres que con 90º de altura estaría situado xusto na vertical, no cénit do lugar. V. coordenadas horizontais."
altura dun son,"É o que se quere indicar cando se di que un son é máis agudo ou máis grave que outro, relacionándose directamente co seu ton. V. características do son."
altura estática,Medida da relación entre a enerxía potencial e o peso dun elemento de volume nun fluído. Coñecese tamén co nome de gradiente hidráulico e obtense ao sumar as alturas de presión e xeométrica na ecuación de Bernouilli..
altura piezométrica,Altura de presión.
